TachographVehicleSpeed	AcceleratorPedalAPPosition1	BrakePedalPosition	CurrentGear	EngineSpeed	ActualEnginePercentTorque[percent]	EngineFuelRate	EngineCoolantTemperature	EngineOilTemperature[Celsius]	AmbientAirTemp[C]	HRVD_I_TotalVehiclDistancHighRes[m]	GPS_Altitude[m]	GPS_Latitude[deg_per_bit]	GPS_Longitude[deg_per_bit]	D_AxleWeight[kg]	
0	0	0	1	600,375	10	2,25	83	82,90625	25,8125	139884010	897,375	-25,3769119	-49,2241115	6071	
0	0	0	1	600	10	2,35	83	82,90625	25,8125	139884010	897,375	-25,3769139	-49,2241121	5747	
0	0	0	1	599,75	10	2,3	83	82,90625	25,8125	139884010	897,375	-25,3769139	-49,2241121	5601	
0	0	0	1	600,375	10	2,25	83	82,90625	25,8125	139884010	897,375	-25,3769139	-49,2241121	7498	
0	0	0	1	600,25	10	2,3	83	82,90625	25,8125	139884010	897,375	-25,3769139	-49,2241121	6071	
0	0	0	1	600	10	2,25	83	82,90625	25,8125	139884010	897,5	-25,3769139	-49,2241121	5747	
0	0	102	1	599,375	9	2,25	83	82,90625	25,8125	139884010	897,5	-25,3769139	-49,2241121	5601	
0	0	0	1	597,25	9	2,3	83	82,90625	25,8125	139884010	897,5	-25,3769139	-49,2241121	7498	
0	0	0	1	600,375	10	2,3	83	82,90625	25,8125	139884010	897,5	-25,3769139	-49,2241121	6071	
0	0	0	1	600,5	10	2,25	83	82,90625	25,8125	139884010	897,5	-25,3769139	-49,2241121	5725	
0	0	0	1	596,125	10	2,3	83	82,90625	25,8125	139884010	897,5	-25,3769139	-49,2241121	5601	
0	0	0	1	600,625	10	2,25	83	82,75	25,8125	139884010	897,5	-25,376914	-49,224112	7498	
0	0	26	1	599	10	2,3	83	82,75	25,8125	139884010	897,5	-25,376914	-49,224112	6076	
0	0	28,8	1	600,25	10	2,25	83	82,75	25,8125	139884010	897,625	-25,3769142	-49,2241121	5725	
