TachographVehicleSpeed	AcceleratorPedalAPPosition1	BrakePedalPosition	CurrentGear	EngineSpeed	ActualEnginePercentTorque[percent]	EngineFuelRate	EngineCoolantTemperature	EngineOilTemperature[Celsius]	AmbientAirTemp[C]	HRVD_I_TotalVehiclDistancHighRes[m]	GPS_Altitude[m]	GPS_Latitude[deg_per_bit]	GPS_Longitude[deg_per_bit]	D_AxleWeight[kg]	
0	0	26	1	601,25	12	2,7	90	97,34375	24,90625	139895850	951,5	-25,4440872	-49,2839965	5791	
0	0	26	1	600,125	12	2,7	90	97,34375	24,90625	139895850	950,875	-25,4440863	-49,2839939	5626	
0	0	26	1	599,75	12	2,75	90	97,34375	24,90625	139895850	950,5	-25,4440843	-49,2839901	7541	
0	0	19,2	1	601,625	12	2,7	90	97,34375	24,90625	139895850	950,5	-25,4440836	-49,2839897	6093	
0	0	0	1	581,125	16	4,2	90	97,34375	24,90625	139895850	950,5	-25,4440836	-49,2839897	5791	
0,59765625	30	0	1	591,125	26	5,95	90	97,34375	24,90625	139895850	950,375	-25,4440837	-49,2839897	5473	
2,296875	46,4	0	1	717,25	35	10,15	90	97,34375	24,90625	139895850	950,375	-25,4440837	-49,2839897	7652	
4,09765625	50,8	0	1	876,25	37	13,5	90	97,34375	24,90625	139895850	950,375	-25,4440837	-49,2839897	6083	
6,296875	58	0	1	992,125	41	16,8	90	97,34375	25	139895850	950,375	-25,4440837	-49,2839897	5835	
8,5	60	0	1	1097,75	39	17,65	90	97,21875	25	139895850	950,375	-25,4440836	-49,2839896	5358	
10,3984375	60,8	0	1	1146,25	38	17,95	90	97,21875	25	139895855	950,375	-25,4440836	-49,2839896	7719	
11,8984375	58	0	1	1164,875	34	16,4	90	97,21875	25	139895855	950,375	-25,4440664	-49,2839273	6060	
13,19921875	58,8	0	1	1189	33	16,4	90	96,9375	25	139895860	949,5	-25,4440664	-49,2839273	5814	
14,19921875	54,4	0	1	1178,875	29	14,25	90	96,9375	25	139895860	949,5	-25,4440664	-49,2839273	5814	
15	53,2	0	1	1175,375	28	13,05	90	96,9375	25	139895860	946,5	-25,4440478	-49,2838662	7597	
15,5	51,6	0	1	1157,5	25	11,85	90	96,9375	25	139895865	946,5	-25,4440478	-49,2838662	6067	
15,8984375	50,8	0	1	1177,75	25	12,25	90	96,9375	25	139895865	946,5	-25,4440375	-49,2838308	5770	
16,296875	48	0	1	1133,125	22	10,35	90	96,9375	25	139895880	946	-25,4439896	-49,283679	5499	
16,5	45,6	0	1	1127,5	20	9,95	89	96,9375	25	139895880	946	-25,4439896	-49,283679	7519	
16,59765625	40,4	0	1	1061,875	17	7,75	89	96,65625	25	139895890	945,75	-25,4439896	-49,283679	6108	
16,5	40,8	0	1	1036,375	17	7,35	89	96,65625	25	139895890	945,625	-25,4439363	-49,283613	5749	
16,296875	35,6	0	1	971,25	13	3,85	89	96,65625	25	139895905	945,25	-25,4439083	-49,2835687	5651	
16,09765625	36,4	0	1	966,25	15	6,05	89	96,65625	25	139895905	944,75	-25,4438781	-49,2835342	7798	
15,796875	38	0	1	956,875	17	5,8	89	96,65625	25	139895905	944	-25,4438781	-49,2835342	6094	
15,59765625	35,6	0	1	962,125	14	6,35	89	96,65625	24,90625	139895910	944	-25,4438552	-49,2834993	5791	
15,3984375	35,2	0	1	929,5	14	5,7	89	96,375	24,90625	139895910	945	-25,4438354	-49,2834262	5639	
15,19921875	36,4	0	1	929,25	15	5,9	89	96,375	24,90625	139895915	944,5	-25,4438259	-49,2833815	7586	
15,09765625	37,6	0	1	924,625	17	5,8	89	96,375	24,90625	139895915	944,5	-25,4438259	-49,2833815	6078	
14,8984375	37,2	0	1	937,875	16	6,2	89	96,375	24,90625	139895930	944,5	-25,4438175	-49,2832973	5863	
14,69921875	31,2	0	1	851	13	4,45	89	96,375	24,90625	139895930	944,5	-25,4438203	-49,28321	5639	
14,5	32,8	0	1	844,125	14	4,95	89	96,375	24,90625	139895935	944,5	-25,4438203	-49,28321	7586	
14,296875	44,4	0	1	901,25	24	7,6	89	96,25	24,90625	139895935	943,5	-25,4438203	-49,28321	6078	
14,69921875	63,2	0	1	1191,5	37	16,2	89	96,25	24,90625	139895935	942,125	-25,4438226	-49,2831254	5835	
16	68,8	0	1	1371,5	45	23,6	89	96,25	24,90625	139895950	942	-25,4438237	-49,2830833	5460	
17,59765625	71,2	0	1	1451,25	43	25,55	89	96,25	24,90625	139895950	942	-25,4438237	-49,2830833	7675	
19,3984375	70,8	0	2	981	50	15,2	89	96,25	24,90625	139895960	942,25	-25,443821	-49,2830425	6061	
21,19921875	70,4	0	2	1080,375	62	27,6	89	96,375	24,90625	139895960	942,375	-25,443821	-49,2830425	5792	
23,09765625	70,8	0	2	1171,875	57	27,75	89	96,375	24,90625	139895960	942,375	-25,4438153	-49,2830002	5333	
24,3984375	62,8	0	2	1233,375	35	19,95	89	96,375	24,90625	139895965	942,625	-25,4438153	-49,2830002	7664	
25,296875	65,2	0	3	949,375	58	16,35	89	96,375	24,90625	139895965	942,625	-25,4434874	-49,2821756	6099	
26,3984375	66,4	0	3	986,25	58	22,6	89	96,375	24,90625	139895990	943,875	-25,4434874	-49,2821756	5836	
27,59765625	70,8	0	3	1033,75	64	27,3	89	96,375	24,90625	139895990	943,5	-25,4434874	-49,2821756	5499	
28,69921875	59,2	0	3	1086,875	63	35,8	89	96,5	24,90625	139895995	943,5	-25,4434874	-49,2821756	7641	
30,296875	65,2	0	3	1121,375	47	23,25	89	96,5	24,90625	139895995	944	-25,4434874	-49,2821756	6098	
31	65,6	0	3	1151,125	44	29,35	89	96,5	24,90625	139895995	944,125	-25,4434874	-49,2821756	5727	
32,09765625	62	0	3	1185,875	39	23,3	89	96,5	24,90625	139896030	944,125	-25,4434874	-49,2821756	5409	
32,09765625	42,8	0	3	1196,375	14	6,65	89	96,5	24,90625	139896030	944,875	-25,4434874	-49,2821756	7720	
32	50,4	0	3	1197,125	20	7,85	89	96,5	24,71875	139896035	944,625	-25,4434874	-49,2821756	6186	
32,3984375	61,6	0	3	1203,75	46	16,65	89	96,5	24,71875	139896035	945,25	-25,4434874	-49,2821756	5902	
33,09765625	64,4	0	3	1226,125	31	17,55	89	96,5	24,71875	139896055	943,875	-25,4434648	-49,2820846	5537	
33,8984375	60,8	0	3	1271	35	19,65	89	96,65625	24,71875	139896055	942,875	-25,4434545	-49,2820024	7319	
34,69921875	61,6	0	4	949,5	49	13,85	90	96,65625	24,71875	139896085	942,125	-25,443418	-49,2819071	6051	
35,3984375	56,4	0	4	966	43	20,7	90	96,65625	24,71875	139896085	942,125	-25,443418	-49,2819071	6166	
35,796875	57,2	0	4	979,875	47	17,35	90	96,65625	24,71875	139896085	943,25	-25,4433596	-49,2817243	5499	
36,19921875	60	0	4	989,125	44	15,9	90	96,65625	24,71875	139896100	943,875	-25,4433336	-49,2816357	7675	
36,8984375	59,6	0	4	1011,125	41	16,95	90	96,65625	24,71875	139896100	945	-25,443254	-49,2813435	6077	
36,8984375	0	0	4	999,875	0	3,25	90	96,65625	24,59375	139896110	945	-25,443254	-49,2813435	5837	
36,8984375	0	0	4	1008,375	0	0	90	96,9375	24,59375	139896110	945	-25,443254	-49,2813435	5837	
36,59765625	0	0	4	1000,25	0	0	90	96,9375	24,59375	139896155	944,5	-25,4432136	-49,281251	7385	
36,19921875	0	0	4	987,75	0	0	90	96,9375	24,59375	139896155	943,625	-25,4431718	-49,2811517	5974	
35,8984375	0	0	4	981,5	0	0	90	96,9375	24,59375	139896165	942,75	-25,4431194	-49,2810681	5815	
35,69921875	0	0	4	971,375	0	0	90	96,9375	24,59375	139896165	942,75	-25,4430909	-49,2809796	5830	
35,296875	0	0	4	965,875	0	0	90	96,9375	24,59375	139896165	941,75	-25,4430599	-49,2808902	7497	
35,19921875	0	0	4	963,625	0	0	90	96,9375	24,59375	139896195	941,75	-25,4430599	-49,2808902	6098	
35,3984375	0	0	4	967,875	0	0	90	96,9375	24,59375	139896195	940,75	-25,4430599	-49,2808902	5855	
35,3984375	0	0	4	966,75	0	0	90	96,9375	24,59375	139896215	941,5	-25,4430058	-49,2808038	5613	
35,3984375	0	0,4	4	968,375	0	0	90	96,9375	24,59375	139896215	941,5	-25,4429663	-49,2807158	7229	
35,19921875	0	0,4	4	964,375	0	0	90	96,9375	24,40625	139896230	941,25	-25,4429663	-49,2807158	7229	
