Time[s]	TachographVehicleSpeed	AcceleratorPedalAPPosition1	BrakePedalPosition	CurrentGear	EngineSpeed	ActualEnginePercentTorque[percent]	D_FuelRate	EngineFuelRate	EngineCoolantTemperature	EngineOilTemperature[Celsius]	AmbientAirTemp[C]	HRVD_I_TotalVehiclDistancHighRes[m]	GPS_Altitude[m]	GPS_Latitude[deg_per_bit]	GPS_Longitude[deg_per_bit]	D_AxleWeight[kg]
0	0	0	30,8	1	599,5	10	39	2,3	87	95,40625	25,59375	139906545	913	-25,3769865	-49,2238522	5792
1	0	0	30,8	1	598,625	10	39	2,3	87	95,40625	25,59375	139906545	913	-25,3769865	-49,2238522	5613
2	0	0	31,2	1	600	10	39	2,3	87	95,25	25,8125	139906545	913	-25,3769863	-49,223852	7562
3	0	0	30,8	1	601,625	10	39	2,3	87	95,25	25,8125	139906545	913,125	-25,3769862	-49,2238518	6092
4	0	0	30,8	1	600,25	10	39	2,3	87	95,25	25,8125	139906545	913,125	-25,3769862	-49,2238518	5792
5	0	0	102	1	599,375	10	39	2,3	87	95,25	25,8125	139906545	913,125	-25,3769862	-49,2238518	5626
6	0	0	102	1	598,375	10	40	2,35	87	95,25	25,8125	139906545	913,25	-25,3769859	-49,2238516	7562
7	0,5	0	102	1	586,875	25	99	5,85	87	95,40625	25,8125	139906545	913,375	-25,3769855	-49,2238513	6095
8	2,19921875	10,4	102	1	601,875	23	91	5,4	87	95,40625	25,8125	139906545	913,375	-25,3769855	-49,2238513	5815
9	3,296875	38,8	0	1	614,875	27	99	5,85	87	95,40625	25,8125	139906545	913,375	-25,3769853	-49,2238512	5499
10	4,59765625	47,6	0	1	834,5	32	188	11,15	87	95,40625	25,8125	139906545	913,375	-25,3769853	-49,2238512	7674
11	6,5	47,6	0	1	899,625	30	191	11,3	87	95,40625	25,8125	139906545	913,375	-25,3769851	-49,2238511	6075
12	7,8984375	50	0	1	940	31	203	12,05	87	95,40625	25,8125	139906545	913,375	-25,3769842	-49,2238456	5772
13	9,3984375	49,2	0	1	988,125	29	197	11,65	87	95,40625	25,8125	139906550	912,875	-25,3769842	-49,2238456	5371
14	10,5	44,4	0	1	957,875	23	152	9	87	95,125	25,8125	139906550	912,5	-25,3769881	-49,2238115	7630
15	11,09765625	43,2	0	1	933,125	22	147	8,7	87	95,125	25,8125	139906550	913	-25,3769971	-49,223775	6060
16	11,59765625	40,4	102	1	926,625	20	132	7,8	86	95,125	25,8125	139906550	913	-25,3770026	-49,2237532	5882
17	11,796875	34,8	0	1	823,625	17	92	5,45	86	95,125	25,90625	139906560	912,625	-25,3770045	-49,223729	5626
18	11,8984375	41,6	102	1	870	23	134	7,95	86	95,125	25,90625	139906560	914,375	-25,3770066	-49,2236998	7630
