TachographVehicleSpeed	AcceleratorPedalAPPosition1	BrakePedalPosition	CurrentGear	EngineSpeed	ActualEnginePercentTorque[percent]	D_FuelRate	EngineFuelRate	EngineCoolantTemperature	AmbientAirTemp[C]	HRVD_I_TotalVehiclDistancHighRes[m]	D_AxleWeight[kg]
0	0	31,6	1	569,25	27	103	6,1	79	15,59375	143057280	7754
0	0	0	1	652,875	8	33	1,95	79	15,59375	143057280	6033
0,296875	0	0	1	584	26	102	6,05	79	15,5	143057280	5768
1,59765625	6	0	1	599,75	24	96	5,7	79	15,5	143057280	5180
2,69921875	30,8	0	1	602,125	24	95	5,6	79	15,5	143057280	7753
3,59765625	44	102	1	654,125	33	143	8,45	79	15,5	143057280	6051
5,09765625	49,6	102	1	876,25	33	207	12,25	79	15,59375	143057280	5769
6,8984375	49,6	102	1	934,375	31	202	11,95	79	15,59375	143057280	5218
8,5	50,4	102	1	982,875	31	214	12,7	79	15,59375	143057280	7753
9,69921875	49,2	0	1	988	28	191	11,3	79	15,59375	143057285	6054
10,796875	48,4	0	1	997,875	28	195	11,55	79	15,59375	143057285	5878
11,59765625	48,4	102	1	1015,875	27	187	11,1	79	15,59375	143057290	5282
12,19921875	45,6	0	1	1000,875	23	160	9,5	79	15,59375	143057290	7776
12,59765625	22,8	0	1	922,375	7	77	4,55	79	15,59375	143057295	6046
12,19921875	0	0	1	620	8	33	1,95	79	15,59375	143057295	5854
11,8984375	0	102	1	593,375	9	37	2,15	79	15,59375	143057305	5358
11,3984375	0	0	1	594	11	43	2,55	79	15,59375	143057305	7686
11,09765625	0	102	1	596,75	12	46	2,7	79	15,59375	143057305	6058
10,69921875	0	102	1	597,125	12	48	2,85	79	15,5	143057315	5724
10,3984375	0	102	1	596,375	13	52	3,05	79	15,5	143057315	5422
10,19921875	0	7,6	1	597,5	14	52	3,05	78	15,5	143057320	7754
9,796875	0	102	1	604	10	41	2,4	78	15,5	143057320	6050
8,296875	0	25,2	1	598,625	11	43	2,55	78	15,5	143057325	5724
7	0	26	1	598,75	11	42	2,45	78	15,5	143057325	5409
5,09765625	0	102	1	600,25	11	44	2,6	79	15,5	143057330	7597
3,09765625	0	102	1	600,75	11	43	2,55	79	15,5	143057330	6050
1,796875	0	102	1	598,75	11	43	2,55	79	15,5	143057335	5724
1	0	21,6	1	600,375	11	43	2,55	79	15,5	143057335	5422
0,296875	0	22	1	600,75	11	43	2,55	79	15,5	143057335	7664
0,296875	0	22	1	601,25	11	44	2,6	79	15,3125	143057335	6060
0	0	22	1	599,375	11	44	2,6	79	15,3125	143057335	5767
0	0	21,6	1	599,875	11	44	2,6	79	15,3125	143057335	5384
0	0	21,6	1	601,875	11	44	2,6	79	15,3125	143057335	7664
0	0	21,6	1	600,5	11	43	2,55	79	15,5	143057335	6057
0	0	0	1	598,875	11	44	2,6	79	15,5	143057335	5768
0	18,8	0	1	561,5	26	104	6,15	79	15,5	143057335	5384
1,69921875	52	0	1	767,75	41	204	12,1	79	15,5	143057335	7742
4,3984375	60,4	0	1	998,25	45	303	17,95	79	15,5	143057335	6049
7,3984375	62,8	0	1	1126,5	44	338	20,05	79	15,5	143057335	5679
9,8984375	55,6	0	1	1134	33	266	15,75	79	15,5	143057335	5180
11,3984375	46,4	0	1	1067,75	24	184	10,9	79	15,5	143057335	7709
11,796875	39,2	0	1	883	20	125	7,4	79	15,5	143057335	6052
11,796875	38	0	1	868,5	19	117	6,9	79	15,5	143057350	5811
11,8984375	52	0	1	1033,625	36	261	15,45	79	15,5	143057350	5333
12,796875	51,2	0	1	1110,625	29	233	13,8	79	15,5	143057350	7798
13,5	59,6	0	1	1121,75	34	233	13,8	79	15,5	143057350	6095
15,19921875	65,2	0	1	1265,125	39	344	20,4	79	15,5	143057360	5853
16,796875	60	0	1	1298,25	30	276	16,35	79	15,5	143057360	5333
18,09765625	68	0	1	922,75	27	177	10,5	79	15,5	143057360	7675
19,69921875	66,4	0	2	1002	61	510	30,25	79	15,5	143057370	6037
21,796875	64,8	0	2	1108,75	49	394	23,35	79	15,5	143057370	5937
23,5	67,2	0	2	1190,875	53	433	25,7	79	15,5	143057380	5180
25,69921875	68	0	2	1305,875	48	428	25,4	79	15,5	143057380	7520
27	66,4	0	3	996,75	54	381	22,6	79	15,5	143057400	5966
29	54,8	0	3	1081,25	52	550	32,65	79	15,5	143057400	5702
30,3984375	70	0	3	1127,75	60	471	27,95	79	15,5	143057415	5435
32	70	0	3	1190	56	452	26,8	79	15,5	143057415	7664
33,296875	61,2	0	3	1239,75	46	409	24,25	79	15,5	143057415	6015
34,296875	68,4	0	3	968,375	32	227	13,45	79	15,5	143057445	5723
35,59765625	68	0	4	977,5	62	434	25,75	79	15,5	143057445	5499
37	65,2	0	4	1009,25	54	432	25,65	79	15,5	143057455	7709
38,19921875	63,6	0	4	1042	49	353	20,95	79	15,5	143057455	6036
39,09765625	20,8	0	4	1072,375	14	208	12,35	79	15,5	143057455	5702
38,796875	0	0	4	1060,75	0	0	0	79	15,5	143057475	5486
38,59765625	0	0	4	1054,25	0	0	0	79	15,5	143057475	7597
38,3984375	0	0	4	1049,5	0	0	0	79	15,21875	143057505	6028
